doi,title,authors,journal,year,type,venue_swept,citations,abstract
10.1016/j.microrel.2018.06.084,Physics-of-Failure (PoF) methodology for qualification and lifetime assessment of supercapacitors for industrial applications,Temsamani A.B.; Kauffmann S.; Helsen S.; Gaens T.,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,17,
10.1016/j.microrel.2018.06.027,Lifetime prediction of aluminum electrolytic capacitors in LED drivers considering parameter shifts,Niu H.; Wang S.; Ye X.; Wang H.,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,16,
10.1109/tdmr.2018.2874359,Analysis of NBTI Degradation in nMOS-Capacitors and nMOSFETs,Benabdelmoumene Abdelmadjid; Djezzar Boualem; Chenouf Amel; Zatout Boumediene,IEEE Transactions on Device and Materials Reliability,2018,journal-article,IEEE Trans. Device and Materials Reliability,12,
10.1016/j.microrel.2018.06.102,Detection and identification of power switch failures for fault-tolerant operation of flying capacitor Buck-boost converters,Tang Sai; Yin Xin; Wang Daming; Zhang Chao,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,9,
10.1109/jestpe.2018.2866545,Lock-in Thermography Failure Detection on Multilayer Ceramic Capacitors After Flex Cracking and Temperature–Humidity–Bias Stress,Andersson Caroline; Kristensen Ole; Miller Stefanie; Gloor Thomas,IEEE Journal of Emerging and Selected Topics in Power Electronics,2018,journal-article,IEEE JESTPE,8,
10.1016/j.microrel.2018.06.117,Effect of DC/AC stress on the reliability of cell capacitor in DRAM,Kim Gang-Jun; Lee Nam-Hyun; Kim Jongkyun; Seok Jung Eun,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,5,
10.1016/j.microrel.2018.07.059,Uncertainty analysis of capacitor reliability prediction due to uneven thermal loading in photovoltaic applications,Vernica I.; Wang H.; Blaabjerg F.,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,5,
10.1016/j.microrel.2017.10.033,Investigations and detections on a new BEOL dielectric failure mechanism at advanced technologies,Chien Wei-Ting Kary; Zhao Yong Atman; Zhang Liwen; Wang Zhijuan,Microelectronics Reliability,2018,journal-article,Microelectronics Reliability,4,
10.1016/j.microrel.2017.01.011,Mechanism of gate dielectric degradation by hydrogen migration from the cathode interface,Higashi Yusuke; Takaishi Riichiro; Kato Koichi; Suzuki Masamichi,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,15,
10.1109/tdmr.2017.2699287,Reliability Comparison of ZrO<sub>2</sub>-Based DRAM High-k Dielectrics Under DC and AC Stress,Knebel Steve; Zhou Dayu; Schroeder Uwe; Slesazeck Stefan,IEEE Transactions on Device and Materials Reliability,2017,journal-article,IEEE Trans. Device and Materials Reliability,12,
10.1016/j.microrel.2017.06.038,Front-end of line and middle-of-line time-dependent dielectric breakdown reliability simulator for logic circuits,Yang Kexin; Liu Taizhi; Zhang Rui; Kim Dae-Hyun,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,11,
10.1016/j.microrel.2017.07.083,Degradation of adhesion between Cu and epoxy-based dielectric during exposure to hot humid environments,Ahn Key-one; Park Se-Hoon; Kim Young-Ho,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,8,
10.1016/j.microrel.2017.06.040,Analysis of time-dependent dielectric breakdown induced aging of SRAM cache with different configurations,Zhang Rui; Liu Taizhi; Yang Kexin; Milor Linda,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,7,
10.1016/j.microrel.2017.10.025,Comparing the degradation effect of a ‘two-cell’ Supercapacitor-module with and without voltage equalization circuit(s) under experimental self-discharge and load cycling tests,Ahmad Abubakar Hadiza; Isa Dino; Wan Wong Yee,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,3,
10.1016/j.microrel.2017.06.039,Analysis of errors in estimating wearout characteristics of time-dependent dielectric breakdown using system-level accelerated life test,Kim Dae-Hyun; Milor Linda,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,2,
10.36001/phmconf.2017.v9i1.2477,An Observer-based On-line Electrolytic Capacitor Health Monitoring System,Foube Laurent; Mollov Stefan,Annual Conference of the PHM Society,2017,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",1,"This work presents a cost-motivated method for reliability health monitoring of an electrolytic capacitor. The monitoring system uses a combination of analogue and digital electronics to optimize the cost. The capacitor aging is detected by on-line and in-situ detection of the evolution of the ESR (Equivalent Series Resistance) which is the most reliable ageing indicator. The algorithm uses waveforms naturally present in the power electronic train and thus the condition monitoring can be performed continuously and without interruption of the industrial process. The monitoring method estimates the ESR by adjusting a capacitor model that emulates the monitored capacitor. The limitation in accuracy of the estimation has no significant influence on the lifetime determination. The principle of the method is explained, along with the design tradeoffs and the monitoring procedure is described in detail. The paper also presents the experimental results obtained from a prototype during accelerated in-situ/inverter ageing tests."
10.1016/j.microrel.2017.03.035,Fast and accurate method of lifetime estimation for HfSiON/SiO2 dielectric n-MOSFETs under positive bias temperature instability,Roh Giyoun; Kim Hyeokjin; Kim Cheolgyu; Kim Dongwoo,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,1,
10.1016/j.microrel.2017.06.028,Failure analysis of projected capacitance touch panel liquid crystal displays – Two case studies,Lu Jia; Cao Zhennian; Huang Chuangjun; Xiao Kunhui,Microelectronics Reliability,2017,journal-article,Microelectronics Reliability,0,
10.1109/tdmr.2017.2731796,Investigation of Anomalous Hysteresis in MOS Devices With ZrO<sub>2</sub>Gate Dielectrics,Lu Qifeng; Qi Yanfei; Zhao Ce Zhou; Liu Chenguang,IEEE Transactions on Device and Materials Reliability,2017,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1109/tdmr.2016.2564448,Interfacial Charge Analysis of Heterogeneous Gate Dielectric-Gate All Around-Tunnel FET for Improved Device Reliability,Madan Jaya; Chaujar Rishu,IEEE Transactions on Device and Materials Reliability,2016,journal-article,IEEE Trans. Device and Materials Reliability,226,
10.1016/j.microrel.2016.07.110,Detection of cracks in multilayer ceramic capacitors by X-ray imaging,Andersson C.; Ingman J.; Varescon E.; Kiviniemi M.,Microelectronics Reliability,2016,journal-article,Microelectronics Reliability,32,
10.1109/tdmr.2016.2583262,Gate-Material-Engineered Junctionless Nanowire Transistor (JNT) With Vacuum Gate Dielectric for Enhanced Hot-Carrier Reliability,Pratap Yogesh; Haldar Subhasis; Gupta R. S.; Gupta Mridula,IEEE Transactions on Device and Materials Reliability,2016,journal-article,IEEE Trans. Device and Materials Reliability,16,
10.1016/j.microrel.2016.09.004,Dielectric charging induced drift in micro device reliability-a review,Zhou Wu; He Jiangbo; He Xiaoping; Yu Huijun,Microelectronics Reliability,2016,journal-article,Microelectronics Reliability,13,
10.1109/tdmr.2016.2550504,"Impact of Dielectric Resistive Heater, Bottom Contact and Reading Scheme on the Reliability of Nanoscale Low Power Phase Change Memory (PCM) Cell: 3-D-ADI Modeling",Jagtiani Shalini; Datta Arnab,IEEE Transactions on Device and Materials Reliability,2016,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1016/j.microrel.2015.06.011,Degradation testing and failure analysis of DC film capacitors under high humidity conditions,Wang Huai; Nielsen Dennis A.; Blaabjerg Frede,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,52,
10.1016/j.microrel.2015.06.099,Lifetime estimation of high-temperature high-voltage polymer film capacitor based on capacitance loss,Makdessi M.; Sari A.; Venet P.; Aubard G.,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,28,
10.1016/j.microrel.2015.05.006,All-inkjet printed organic transistors: Dielectric surface passivation techniques for improved operational stability and lifetime,Gomes H.L.; Medeiros M.C.R.; Villani F.; Canudo J.,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,27,
10.1016/j.microrel.2015.09.032,Simulation study on the lifetime of electrochemical capacitors using the accelerated degradation test under temperature and voltage stresses,Kim Yu Tack; Kim Kwang-Bum; Hyun Yoo Eo; Kim Ick-Jun,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,18,
10.1016/j.microrel.2015.06.034,Avoiding flex cracks in ceramic capacitors: Analytical tool for a reliable failure analysis and guideline for positioning cercaps on PCBs,Vogel G.,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,13,
10.1016/j.microrel.2015.06.026,Study on specific effects of high frequency ripple currents and temperature on supercapacitors ageing,German R.; Sari A.; Venet P.; Briat O.,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,13,
10.36001/phmconf.2015.v7i1.2713,Analysis of Electrolytic Capacitor Degradation under Electrical Overstress for Prognostic Studies,Renwick Jason; S. Kulkarni Chetan; R. Celaya Jose ́,Annual Conference of the PHM Society,2015,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",6,"The implementation of prognostics methodologies to electrical and electronics components and systems has become essential and critical as these systems find more prominence recently as they replace traditional systems in several critical applications. There are several challenges due to the great variety of components used in a system, the continuous development of new electronics technologies, and a general lack of understanding of how electronics fail. Traditional reliability techniques in electronics tend to focus on understanding the time to failure for a batch of components of the same type. In this work, we discuss degradation in electrolytic capacitors which are part of power supplies and are very crucial in their operation. We discuss our experimental setup and further present our findings related to the degradation observed in these capacitors under accelerated electrical aging under different operating conditions. The understanding of the time-dependent degradation process is critical for the development of model-based prognostics algorithms which provide a continuous condition-based estimation of the remaining useful life of the device under test"
10.1016/j.microrel.2015.07.027,An SEM/STM based nanoprobing and TEM study of breakdown locations in HfO2/SiOx dielectric stacks for failure analysis,Shubhakar K.; Bosman M.; Neucheva O.A.; Loke Y.C.,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,6,
10.1016/j.microrel.2015.08.009,AlN capping layer inserted between Cu and SiCN dielectric barrier layer for enhancing reliability of 28nm technological node and beyond,Zhou Ming,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,2,
10.1016/j.microrel.2015.06.015,Fault isolation in a case study of failure analysis on Metal–Insulator–Metal capacitor structures,Giuffrida V.; Barbarino P.; Muni G.; Calvagno G.,Microelectronics Reliability,2015,journal-article,Microelectronics Reliability,1,
10.1016/j.microrel.2014.07.103,Metallized polymer film capacitors ageing law based on capacitance degradation,Makdessi M.; Sari A.; Venet P.,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,104,
10.1109/jestpe.2013.2295061,Fault-Tolerant PMSG Drive With Reduced DC-Link Ratings for Wind Turbine Applications,Freire Nuno M. A.; Cardoso Antonio J. Marques,IEEE Journal of Emerging and Selected Topics in Power Electronics,2014,journal-article,IEEE JESTPE,54,
10.1016/j.microrel.2014.07.105,Prediction of supercapacitors floating ageing with surface electrode interface based ageing law,German R.; Sari A.; Venet P.; Ayadi M.,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,37,
10.1016/j.microrel.2014.02.030,Analytical solution on interfacial reliability of 3-D through-silicon-via (TSV) containing dielectric liner,Ding Yingtao; Yan Yangyang; Chen Qianwen; Wang Shiwei,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,35,
10.1109/tr.2014.2315914,Detection and Reliability Risks of Counterfeit Electrolytic Capacitors,Shrivastava Anshul; Azarian Michael H.; Morillo Carlos; Sood Bhanu,IEEE Transactions on Reliability,2014,journal-article,IEEE Trans. Reliability,35,
10.1016/j.microrel.2014.03.013,OFF-state degradation and correlated gate dielectric breakdown in high voltage drain extended transistors: A review,Varghese D.; Reddy V.; Krishnan S.; Alam M.A.,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,25,
10.1016/j.microrel.2014.07.150,Description of supercapacitor performance degradation rate during thermal cycling under constant voltage ageing test,Ayadi M.; Briat O.; Lallemand R.; Eddahech A.,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,25,
10.1109/jestpe.2014.2316602,Experimental Considerations on the Battery Lifetime of a Hybrid Power Source Made of Ultracapacitors and Lead-Acid Batteries,Vulturescu Bogdan; Butterbach Stephane; Forgez Christophe,IEEE Journal of Emerging and Selected Topics in Power Electronics,2014,journal-article,IEEE JESTPE,17,
10.1109/tdmr.2014.2331023,Mechanical Reliability of Embedded Array Capacitors in Ultrahigh-Performance Microprocessors,Panat Rahul; Dattaguru Sriram; Balkan Haluk; Min Yongki,IEEE Transactions on Device and Materials Reliability,2014,journal-article,IEEE Trans. Device and Materials Reliability,13,
10.1016/j.microrel.2014.07.089,As-grown donor-like traps in low-k dielectrics and their impact on intrinsic TDDB reliability,Tang B.J.; Croes K.; Barbarin Y.; Wang Y.Q.,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,10,
10.1016/j.microrel.2014.07.064,Assessment of mechanical reliability of surface mounted capacitor by an accelerated shear fatigue test technique,Magnien J.; Khatibi G.,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,4,
10.36001/phme.2014.v2i1.1491,A Particle Filtering-Based Approach for the Prediction of the Remaining Useful Life of an Aluminum Electrolytic Capacitor,Rigamonti Marco; Baraldi Piero; Zio Enrico; Astigarraga Daniel,PHM Society European Conference,2014,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",2,"This work focuses on the estimation of the Remaining Useful Life (RUL) of aluminum electrolytic capacitors used in electrical automotive drives under variable and non-stationary operative conditions. The main cause of the capacitor degradation is the vaporization of the electrolyte due to a chemical reaction. Capacitor degradation can be monitored by observing the capacitor Equivalent Series Resistance (ESR) whose measurement, however, is heavily influenced by the measurement temperature, which, under non-stationary operative conditions, is continuously changing. In this work, we introduce a novel degradation indicator which is independent from the measurement temperature and, thus, can be used for real applications under variable operative conditions. The indicator is defined by the ratio between the ESR measured on the degraded capacitor and the ESR expected value on a new capacitor at the present operational temperature. The definition of this indicator has required the investigation of the relationship between ESR and temperature on a new capacitor by means of experimental laboratory tests. The prediction of the capacitor degradation and its failure time has been performed by resorting to a Particle Filtering-based prognostic technique."
10.1016/j.microrel.2014.09.023,Investigation of high performance Edge Lifted Capacitors reliability for GaAs and GaN MMIC technology,Weng Ming-Hung; Chen Chao-Hung; Lin Che-Kai; Huang Shih-Hui,Microelectronics Reliability,2014,journal-article,Microelectronics Reliability,1,
10.1016/j.microrel.2012.06.021,"Reliability of TSV interconnects: Electromigration, thermal cycling, and impact on above metal level dielectric",Frank T.; Moreau S.; Chappaz C.; Leduc P.,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,117,
10.1016/j.microrel.2013.06.005,Lifetime investigation and prediction of metallized polypropylene film capacitors,Li Zhiwei; Li Hua; Lin Fuchang; Chen Yaohong,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,42,
10.1016/j.microrel.2013.07.032,Supercapacitors aging diagnosis using least square algorithm,Oukaour A.; Pouliquen M.; Tala-Ighil B.; Gualous H.,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,21,
10.1109/tdmr.2013.2281731,NBTI Reliability of SiGe and Ge Channel pMOSFETs With $ \hbox{SiO}_{2}/\hbox{HfO}_{2}$ Dielectric Stack,Franco Jacopo; Kaczer Ben; Mitard Jerome; Toledano-Luque Maria,IEEE Transactions on Device and Materials Reliability,2013,journal-article,IEEE Trans. Device and Materials Reliability,21,
10.1016/j.microrel.2013.07.079,Thermal cycling impacts on supercapacitor performances during calendar ageing,Ayadi M.; Briat O.; Eddahech A.; German R.,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,15,
10.1016/j.microrel.2013.07.030,Impact of high frequency current ripple on supercapacitors ageing through floating ageing tests,German R.; Briat O.; Sari A.; Venet P.,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,11,
10.1016/j.microrel.2013.07.051,Analysis of ultracapacitors ageing in automotive application,Catelani M.; Ciani L.; Marracci M.; Tellini B.,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,9,
10.36001/phmconf.2013.v5i1.2277,Degredation Modeling and Remaining Useful Life Prediction of Electrolytic Capacitors under Thermal Overstress Condition Using Particle Filters,Khorasgani Hamed; Kulkarni Chetan; Biswas Gautam; R. Celaya Jose ́,Annual Conference of the PHM Society,2013,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",3,"Prognostic and remaining useful life (RUL) predictions for electrolytic capacitors under thermal overstress condition are investigated in this paper. In the first step, the degradation process is modeled as a physics of failure process. All of the relevant parameters and states of the capacitor are considered during the degradation process. A particle filter approach is utilized to derive the dynamic form of the degradation model and estimate the current state of capacitor health. This model is then used to get more accurate estimation of the Remaining Useful Life (RUL) of the capacitors as they are subjected to the thermal stress conditions. The paper includes an experimental study, where the degradation of a set of identical capacitors under thermal overstress conditions is studied to demonstrate and validate the performance of the degradation modeling approach."
10.1016/j.microrel.2013.07.046,Resistive switching like-behavior in MOSFETs with ultra-thin HfSiON dielectric gate stack: pMOS and nMOS comparison and reliability implications,Crespo-Yepes A.; Martín-Martínez J.; Rodríguez R.; Nafría M.,Microelectronics Reliability,2013,journal-article,Microelectronics Reliability,0,
10.1109/tdmr.2012.2211875,In-Line Supermapping of Storage Capacitor for Advanced Stack DRAM Reliability,Lee Chung-Yuan; Lai Chao-Sung; Hu Yaw-Wen; Wang Wun,IEEE Transactions on Device and Materials Reliability,2013,journal-article,IEEE Trans. Device and Materials Reliability,0,
10.1016/j.microrel.2012.06.099,Calendar and cycling ageing of activated carbon supercapacitor for automotive application,Gualous H.; Gallay R.; Al Sakka M.; Oukaour A.,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,46,
10.36001/phme.2012.v1i1.1423,Physics Based Electrolytic Capacitor Degradation Models for Prognostic Studies under Thermal Overstress,Kulkarni Chetan S.; Celaya José R.; Goebel Kai; Biswas Gautam,PHM Society European Conference,2012,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",15,"Electrolytic capacitors are used in several applications ranging from power supplies on safety critical avionics equipment to power drivers for electro-mechanical actuators. This makes them good candidates for prognostics and health management research. Prognostics provides a way to assess remaining useful life of components or systems based on their current state of health and their anticipated future use and operational conditions. Past experiences show that capacitors tend to degrade and fail faster under high electrical and thermal stress conditions that they are often subjected to during operations. In this work, we study the effects of accelerated aging due to thermal stress on different sets of capacitors under different conditions. Our focus is on deriving first principles degradation models for thermal stress conditions. Data collected from simultaneous experiments are used to validate the desired models. Our overall goal is to derive accurate models of capacitor degradation, and use them to predict performance changes in DC-DC converters."
10.1016/j.microrel.2011.08.005,Investigations on electrical characteristics and reliability properties of MOS capacitors using HfAlOx on n-GaAs substrates,Das P.S.; Biswas Abhijit,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,15,
10.1109/tdmr.2011.2162517,Prognostics of Multilayer Ceramic Capacitors Via the Parameter Residuals,Sun Jianzhong; Cheng Shunfeng; Pecht Michael,IEEE Transactions on Device and Materials Reliability,2012,journal-article,IEEE Trans. Device and Materials Reliability,14,
10.1016/j.microrel.2011.09.010,A finite weakest-link model of lifetime distribution of high-k gate dielectrics under unipolar AC voltage stress,Le Jia-Liang,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,13,
10.1016/j.microrel.2011.08.010,Reliability issues of double gate dielectric stacks based on hafnium dioxide (HfO2) layers for non-volatile semiconductor memory (NVSM) applications,Mroczyński Robert; Beck Romuald B.,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,12,
10.1109/tdmr.2011.2168527,Reliability of Embedded Planar Capacitors With Epoxy–$\hbox{BaTiO}_{3}$ Composite Dielectric During Temperature–Humidity–Bias Tests,Alam Mohammed A.; Azarian Michael H.; Pecht Michael G.,IEEE Transactions on Device and Materials Reliability,2012,journal-article,IEEE Trans. Device and Materials Reliability,7,
10.1016/j.microrel.2012.06.049,MIM capacitor-related early-stage field failures,Lu Jia; Cao BoCheng; Wu WenShe; Dai YuFeng,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,6,
10.1016/j.microrel.2012.07.002,Backend dielectric reliability simulator for microprocessor system,Chen Chang-Chih; Ahmed Fahad; Kim Dae Hyun; Lim Sung Kyu,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,4,
10.36001/phmconf.2012.v4i1.2138,Bayesian Framework Approach for Prognostic Studies in Electrolytic Capacitor under Thermal Overstress Conditions,S. Kulkarni Chetan; R. Celaya Jose ́; Goebel Kai; Biswas Gautam,Annual Conference of the PHM Society,2012,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",3,"Electrolytic capacitors are used in several applications ranging from power supplies for safety critical avionics equipment to power drivers for electro-mechanical actuators. Past experiences show that capacitors tend to degrade and fail faster when subjected to high electrical or thermal stress conditions during operations. This makes them good candidates for prognostics and health management. Model-based prognostics captures system knowledge in the form of physics-based models of components in order to obtain accurate predictions of end of life based on their current state of health and their anticipated future use and operational conditions. The focus of this paper is on deriving first principles degradation models for thermal stress conditions and implementing Bayesian framework for making remaining useful life predictions. Data collected from simultaneous experiments are used to validate the models. Our overall goal is to derive accurate models of capacitor degradation, and use them to remaining useful life in DC-DC converters."
10.1016/j.microrel.2012.07.006,Repetitive high peak current pulsed discharge film-capacitor reliability testing,Dang H.Q.S.; Corfield M.R.; Castellazzi A.; Johnson C.M.,Microelectronics Reliability,2012,journal-article,Microelectronics Reliability,3,
10.1109/tdmr.2012.2187294,Electrical and Reliability Characteristics of HfLaTiO-Gated Metal–Oxide–Semiconductor Capacitors With Various Ti Concentrations,Chin-Lung Cheng; Jeng-Haur Horng; Yu-Zhen Wu,IEEE Transactions on Device and Materials Reliability,2012,journal-article,IEEE Trans. Device and Materials Reliability,2,
10.1016/j.microrel.2011.07.081,On the reliability of electrostatic NEMS/MEMS devices: Review of present knowledge on the dielectric charging and stiction failure mechanisms and novel characterization methodologies,Zaghloul Usama; Papaioannou George; Bhushan Bharat; Coccetti Fabio,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,62,
10.1016/j.microrel.2011.01.002,Temperature and voltage aging effects on electrical conduction mechanism in epoxy-BaTiO3 composite dielectric used in embedded capacitors,Alam Mohammed A.; Azarian Michael H.; Osterman Michael; Pecht Michael,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,27,
10.1016/j.microrel.2011.07.014,How supercapacitors reach end of life criteria during calendar life and power cycling tests,Chaari R.; Briat O.; Delétage J.Y.; Woirgard E.,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,23,
10.36001/phmconf.2011.v3i1.2004,A Model-based Prognostics Methodology for Electrolytic Capacitors Based on Electrical Overstress Accelerated Aging,R. Celaya Jose ́; Kulkarni Chetan; Biswas Gautam; Saha Sankalita,Annual Conference of the PHM Society,2011,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",15,"A remaining useful life prediction methodology for electrolytic capacitors is presented. This methodology is based on the Kalman filter framework and an empirical degradation model. Electrolytic capacitors are used in several applications ranging from power supplies on critical avionics equipment to power drivers for electro-mechanical actuators. These devices are known for their comparatively low reliability and given their criticality in electronics subsystems they are a good candidate for component level prognostics and health management. Prognostics provides a way to assess remaining useful life of a capacitor based on its current state of health and its anticipated future usage and operational conditions. We present here also, experimental results of an accelerated aging test under electrical stresses. The data obtained in this test form the basis for a remaining life prediction algorithm where a model of the degradation process is suggested. This preliminary remaining life prediction algorithm serves as a demonstration of how prognostics methodologies could be used for electrolytic capacitors. In addition, the use degradation progression data from accelerated aging provides an avenue for validation of applications of the Kalman filter based prognostics methods typically used for remaining useful life predictions in other applications."
10.1016/j.microrel.2010.10.013,Acoustic emission for detecting deterioration of capacitors under aging,Smulko Janusz; Józwiak Kazimierz; Olesz Marek; Hasse Lech,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,13,
10.1109/tdmr.2011.2108300,Comparison of the Reliability of Thin $\hbox{Al}_{2} \hbox{O}_{3}$ Gate Dielectrics Prepared by In Situ Oxidation of Sputtered Aluminum in Oxygen Ambient With and Without Nitric Acid Compensation,Lin Chien-Chih; Hwu Jenn-Gwo,IEEE Transactions on Device and Materials Reliability,2011,journal-article,IEEE Trans. Device and Materials Reliability,11,
10.1016/j.microrel.2011.02.006,Reliability of thin ZrO2 gate dielectric layers,O’Connor Robert; Hughes Greg; Kauerauf Thomas; Ragnarsson Lars-Ake,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,5,
10.1109/tdmr.2011.2121067,Failure Rates for Interconnect Dielectric Breakdown: Trends Determining Technology Reliability Scaling Limits,Achanta Ravi; McLaughlin Paul; Chen Fen,IEEE Transactions on Device and Materials Reliability,2011,journal-article,IEEE Trans. Device and Materials Reliability,3,
10.1016/j.microrel.2011.10.008,Erratum to “On the reliability of electrostatic NEMS/MEMS devices: Review of present knowledge on the dielectric charging and stiction failure mechanisms and novel characterization methodologies” [MR 51/9–11 (2011) 1810–1818],Zaghloul Usama; Papaioannou George; Bhushan Bharat; Coccetti Fabio,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,2,
10.1016/j.microrel.2010.09.026,Application of Machine Model ESD tester to high volume capacitor reliability testing,Meeder Michael G.; Marchut Leslie; Antonell Michael J.; Fresina Michael T.,Microelectronics Reliability,2011,journal-article,Microelectronics Reliability,1,
10.1109/tdmr.2010.2103316,Field Dependence of Porous Low-$k$ Dielectric Breakdown as Revealed by the Effects of Line Edge Roughness on Failure Distributions,Lee S. C.; Oates A. S.; Chang K. M.,IEEE Transactions on Device and Materials Reliability,2011,journal-article,IEEE Trans. Device and Materials Reliability,1,
10.1016/j.microrel.2010.07.144,Supercapacitor ageing at constant temperature and constant voltage and thermal shock,Gualous H.; Gallay R.; Alcicek G.; Tala-Ighil B.,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,106,
10.1016/j.microrel.2010.07.118,Contribution of calendar ageing modes in the performances degradation of supercapacitors during power cycling,Briat O.; Vinassa J.-M.; Bertrand N.; El Brouji H.,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,27,
10.1016/j.microrel.2009.11.006,Accelerated testing for failures of tantalum capacitors,Virkki J.; Seppälä T.; Frisk L.; Heino P.,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,16,
10.36001/phmconf.2010.v2i1.1727,Experimental Studies of Ageing in Electrolytic Capacitors,Kulkarni Chetan; Biswas Gautam; Koutsoukos Xenofon; Celaya Jose,Annual Conference of the PHM Society,2010,journal-article,"PHM Society (all: PHM Conf, PHME, IJPHM, PHMAP)",11,"Understanding the ageing mechanisms of electronic components critical avionics systems such as the GPS and INAV are of critical importance. Electrolytic capacitors and MOSFET’s have higher failure rates among the components of DC-DC power converter systems. Our current work focuses on analyzing and modeling electrolytic capacitor degradation and its effects on the output of DC-DC converter systems. The output degradation is typically measured by an increase in ESR (Equivalent Series Resistance) and decrease in the capacitance value over long periods of use even under nominal operating conditions. Typically the primary effect of degradation is increased ripple current and this has adverse effects on downstream components. For example, in avionics systems where the power supply drives a GPS unit, ripple currents can cause glitches in the GPS position and velocity output, and this may cause errors in the Inertial Navigation (INAV) system, causing the aircraft to fly off course. In this paper, we present the details of our ageing methodology along with details of experiments and analysis of the results."
10.1016/j.microrel.2010.07.005,Comparison of electrical stress-induced charge carrier generation/trapping and related degradation of SiO2 and HfO2/SiO2 gate dielectric stacks,Samanta Piyas; Zhu Chunxiang; Chan Mansun,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,11,
10.1016/j.microrel.2010.05.004,Plasma-enhanced flexible metal–insulator–metal capacitor using high-k ZrO2 film as gate dielectric with improved reliability,Chu Min-Ching; Meena Jagan Singh; Cheng Chih-Chia; You Hsin-Chiang,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,9,
10.1016/j.microrel.2010.01.012,Impact of Hf content on positive bias temperature instability reliability of HfSiON gate dielectrics,Chen H.W.; Liu C.H.,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,7,
10.1016/j.microrel.2010.01.014,Electrical characteristics and reliability properties of metal–oxide–semiconductor capacitors with HfZrLaO gate dielectrics,Liu C.H.; Chen H.W.,Microelectronics Reliability,2010,journal-article,Microelectronics Reliability,7,
