doi,level_assigned,level_final,audit,audit_reason,audit_lenses,confidence,level_reason,n_reviews,citations,year,title,authors,journal,type,cap_type,method,section,priority,status
10.1109/iecon.2008.4758011,2,2,,,0,high,"obtains the equivalent circuit (ESR, C) of the capacitor, i.e. parameter estimation with no degraded/healthy decision",4,29,2008,An automatic technique to obtain the equivalent circuit of aluminum electrolytic capacitors,Amaral A.M.R.; Cardoso A.J.M.,2008 34th Annual Conference of IEEE Industrial Electronics,proceedings-article,Al-Cap,Experimental/Physics,S3-HealthIndicators,P2,NEED_MANUAL
10.1049/iet-pel.2016.0603,2,2,,,0,high,abstract confirms an online scheme that estimates capacitor impedance from dc-link voltage oscillations,4,22,2017,Capacitor impedance estimation utilizing dc‐link voltage oscillations in single phase inverter,Arya Abhinav; Ahmad Md. Waseem; Agarwal Nikunj; Anand Sandeep,IET Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1049/iet-pel.2018.5394,2,2,,,0,high,"abstract states the output is online ESR and tan-delta of the AEC, a parameter estimate only",4,15,2019,"Online estimation scheme of output capacitor's ESR and tan
                    δ
                    for Buck converter",Ren Lei; Gong Chunying,IET Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/demped.2009.5292791,2,2,,,0,medium,estimates output-filter capacitor condition (ESR) from input-current and output-voltage ripple; no explicit fault decision claimed in the title,4,11,2009,Using input current and output voltage ripple to estimate the output filter condition of switch mode DC/DC converters,Amaral A. M. R.; Cardoso A. J. M.,"2009 IEEE International Symposium on Diagnostics for Electric Machines, Power Electronics ",proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2015.2496267,2,2,,,0,high,explicitly outputs ESR and C of the dc-link capacitor in a boost PFC stage,3,77,2016,An Online Monitoring Scheme of DC-Link Capacitor's ESR and C for a Boost PFC Converter,Yao Kai; Tang Weijie; Bi Xiaopeng; Lyu Jianguo,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/jestpe.2020.2964068,2,2,,,0,high,"monitors output-capacitor parameters (C, ESR) from large-signal load-transient trajectory analysis",3,73,2021,An Online Parameters Monitoring Method for Output Capacitor of Buck Converter Based on Large-Signal Load Transient Trajectory Analysis,Zhao Zhaoyang; Lu Weiguo; Davari Pooya; Du Xiong et al.,IEEE Journal of Emerging and Selected Topics in Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/tie.2016.2582470,2,2,,,0,medium,"online monitoring of an AEC in a PV dc system; title does not state a decision output, so defensible level is parameter (ESR/C) estimation",3,72,2016,Online Monitoring Technique for Aluminum Electrolytic Capacitor in Solar PV-Based DC System,Ahmad Md Waseem; Agarwal Nikunj; Anand Sandeep,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2019.2904551,2,2,,,0,high,outputs a high-accuracy capacitance estimate of the dc-link capacitor via LC resonance excitation,3,69,2019,"High-Accuracy Capacitance Monitoring of DC-Link Capacitor in VSI Systems by
                    LC
                    Resonance",Li Hao; Xiang Dawei; Han Xu; Zhong Xiang et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/powereng.2015.7266382,2,2,,,0,medium,ANN maps measured dc-link quantities to the capacitor parameter (capacitance); title gives no explicit fault decision or health state,3,65,2015,Condition monitoring for DC-link capacitors based on artificial neural network algorithm,Soliman Hammam; Wang Huai; Gadalla Brwene; Blaabjerg Frede,"2015 IEEE 5th International Conference on Power Engineering, Energy and Electrical Drives ",proceedings-article,NR,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1109/tim.2009.2038018,2,2,,,0,medium,offline experimental characterisation yielding capacitor impedance/equivalent parameters across frequency and temperature,3,60,2010,Simple Experimental Techniques to Characterize Capacitors in a Wide Range of Frequencies and Temperatures,Amaral Acácio M. R.; Marques Cardoso A. J.,IEEE Transactions on Instrumentation and Measurement,journal-article,mixed,Experimental/Physics,S3-HealthIndicators,P2,NEED_MANUAL
10.1109/tpel.2019.2939185,2,2,,,0,high,delivers ESR and C estimates for MMC submodule capacitors; no severity or SOH output stated,3,59,2020,Capacitor ESR and C Monitoring in Modular Multilevel Converters,Deng Fujin; Heng Qian; Liu Chengkai; Cai Xu et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/tpel.2018.2868564,2,2,,,0,high,noninvasive online estimation of output-capacitor C and ESR in a DCM flyback,3,53,2019,A Noninvasive Online Monitoring Method of Output Capacitor's C and ESR for DCM Flyback Converter,Yao Kai; Li Hui; Li Lei; Guan Chanbo et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/ifeec.2017.7992442,2,2,,,0,high,ANN regression whose output is the estimated dc-link capacitance value,3,51,2017,Artificial Neural Network based DC-link capacitance estimation in a diode-bridge front-end inverter system,Soliman Hammam; Abdelsalam Ibrahim; Wang Huai; Blaabjerg Frede,2017 IEEE 3rd International Future Energy Electronics Conference and ECCE Asia (IFEEC 2017,proceedings-article,NR,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1109/imtc.2006.328273,2,2,,,0,high,"title states it estimates ESR and reactance values of the capacitor, i.e. parameter estimation only",3,47,2006,An Experimental Technique for Estimating the ESR and Reactance Intrinsic Values of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Cardoso A. J. Marques,2006 IEEE Instrumentation and Measurement Technology Conference Proceedings,proceedings-article,Al-Cap,Experimental/Physics,S3-HealthIndicators,P2,NEED_MANUAL
10.1109/tpel.2019.2961712,2,2,,,0,medium,"reference-submodule comparison yields submodule capacitance values, not a health state or fault decision",3,45,2020,A Reference Submodule Based Capacitor Condition Monitoring Method for Modular Multilevel Converters,Wang Zhongxu; Zhang Yi; Wang Huai; Blaabjerg Frede,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/tpel.2022.3219291,2,2,,,0,medium,"charging-transient voltage analysis returns submodule capacitance, a parameter estimate",3,28,2023,Capacitor Condition Monitoring for Modular Multilevel Converter Based on Charging Transient Voltage Analysis,Xia Hongjian; Zhang Yi; Chen Minyou; Lai Wei et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/isie.2010.5637333,2,2,,,0,medium,offline transformer/DC-supply excitation used to estimate the capacitor's ESR/capacitance condition parameters,3,27,2010,Estimating aluminum electrolytic capacitors condition using a low frequency transformer together with a DC power supply,Amaral Acacio M. R.; Marques Cardoso A. J.,2010 IEEE International Symposium on Industrial Electronics,proceedings-article,Al-Cap,Experimental/Physics,S3-HealthIndicators,P3,NEED_MANUAL
10.1109/vppc.2012.6422642,2,2,,,0,low,"generic DC-link capacitor condition monitoring in an EV drive, defensible only as ESR/C estimation from the title",3,19,2012,Condition monitoring of DC-link capacitors in drive system for electric vehicles,Kim Myoungho; Sul Seung-Ki; Junggi Lee,2012 IEEE Vehicle Power and Propulsion Conference,proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/peds.2007.4487736,2,2,,,0,high,"DFT is used to extract the equivalent-circuit parameters (ESR, C) of the capacitor",3,14,2007,Using DFT to Obtain the Equivalent Circuit of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Buatti Gustavo M.; Ribeiro Hugo; Cardoso A.J. Marques,2007 7th International Conference on Power Electronics and Drive Systems,proceedings-article,Al-Cap,Signal/Circuit,S3-HealthIndicators,P3,NEED_MANUAL
10.1109/icit.2005.1600615,2,2,,,0,high,"experimental high-frequency estimation of the capacitor equivalent circuit, i.e. parameter estimation only",3,12,,"An Experimental Technique for Estimating the Aluminum Electrolytic Capacitor Equivalent Circuit, at High Frequencies",Amaral A.M.R.; Marques Cardoso A.J.,2005 IEEE International Conference on Industrial Technology,proceedings-article,Al-Cap,Experimental/Physics,S3-HealthIndicators,P3,NEED_MANUAL
10.1109/tpel.2022.3176468,2,2,,,0,high,"physics-informed ML outputs converter component parameter estimates (including capacitance/ESR), not a health state",2,152,2022,Parameter Estimation of Power Electronic Converters With Physics-Informed Machine Learning,Zhao Shuai; Peng Yingzhou; Zhang Yi; Wang Huai,IEEE Transactions on Power Electronics,journal-article,NR,Physics-informed/PoF,S8-PhysicsInformed,P1,OA_PENDING
10.1109/tpel.2016.2606417,2,2,,,0,high,"self-tuned Kalman filter delivers real-time estimates of DC-DC converter parameters (L, C, ESR)",2,123,2017,Real-Time Parameter Estimation of DC–DC Converters Using a Self-Tuned Kalman Filter,Ahmeid Mohamed; Armstrong Matthew; Gadoue Shady; Al-Greer Maher et al.,IEEE Transactions on Power Electronics,journal-article,NR,Model-based/Filtering,S4-OnlineCM,P2,OA_PENDING
10.1109/tia.2008.2002220,2,2,,,0,medium,DC-link electrolytic capacitor condition monitoring in ASDs delivering ESR/capacitance estimates,2,120,2008,Condition Monitoring of DC-Link Electrolytic Capacitors in Adjustable-Speed Drives,Kwang-Woon Lee; Myungchul Kim; Jangho Yoon; Sang Bin Lee et al.,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2016.2552039,2,2,,,0,medium,"capacitor-facing output is an ESR estimate from Rogowski-coil current sensing; the diagnosis part concerns the switch, not the capacitor",2,107,2017,Application of an Efficient Rogowski Coil Sensor for Switch Fault Diagnosis and Capacitor ESR Monitoring in Nonisolated Single-Switch DC–DC Converters,Farjah Ebrahim; Givi Hadi; Ghanbari Teymoor,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2015.2472459,2,2,,,0,medium,"metaheuristic identification of converter parameters (C, ESR) at low sampling rate; predictive maintenance is motivation only, not an output",2,99,2016,Low Sampling Rate Online Parameters Monitoring of DC–DC Converters for Predictive-Maintenance Using Biogeography-Based Optimization,Li B. X.; Low K. S.,IEEE Transactions on Power Electronics,journal-article,NR,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tie.2017.2652372,2,2,,,0,medium,"monitors DC-link capacitor (and IGBT) parameters from short-circuit current, i.e. parameter estimation",2,92,2017,Online Condition Monitoring for Both IGBT Module and DC-Link Capacitor of Power Converter Based on Short-Circuit Current Simultaneously,Sun Pengju; Gong Can; Du Xiong; Luo Quanming et al.,IEEE Transactions on Industrial Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tie.2019.2912771,2,2,,,0,medium,"output is submodule capacitance inferred from intrinsic capacitor voltage fluctuations; 'failure prediction' is framing, not a time-to-failure output",2,84,2020,Failure Prediction of Submodule Capacitors in Modular Multilevel Converter by Monitoring the Intrinsic Capacitor Voltage Fluctuations,Ronanki Deepak; Williamson Sheldon S.,IEEE Transactions on Industrial Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tia.2018.2836923,2,2,,,0,high,explicitly estimates aluminium electrolytic capacitor parameters online via modified Prony's method,2,59,2018,Online Estimation of Aluminum Electrolytic-Capacitor Parameters Using a Modified Prony's Method,Laadjal Khaled; Sahraoui Mohamed; Cardoso Antonio J. Marques; Amaral Acacio Manuel Raposo,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tie.2020.3014572,2,2,,,0,high,monitors/estimates submodule capacitance under phase-shifted carrier PWM,2,55,2021,Submodule Capacitance Monitoring Strategy for Phase-Shifted Carrier Pulsewidth-Modulation-Based Modular Multilevel Converters,Liu Chengkai; Deng Fujin; Yu Qiang; Wang Yanbo et al.,IEEE Transactions on Industrial Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/tpel.2021.3091780,2,2,,,0,low,'health monitoring' of MMC DC-link capacitors defensibly delivers a capacitance/ESR estimate; no defined health state visible in title,2,54,2021,Online Health Monitoring of DC-Link Capacitors in Modular Multilevel Converters for FACTS and HVDC Applications,Asoodar Mohsen; Nahalparvari Mehrdad; Danielsson Christer; Söderström Rasmus et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,OA_PENDING
10.1109/tpel.2019.2957027,2,2,,,0,high,online ESR estimation of the boost PFC DC-link capacitor via wavelet time-frequency analysis,2,53,2020,Online Estimation of ESR for DC-Link Capacitor of Boost PFC Converter Using Wavelet Transform Based Time–Frequency Analysis Method,Lu Weiguo; Lu Xuemei; Han Jinxin; Zhao Zhaoyang et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/ecce.2017.8096961,2,2,,,0,high,ANN maps DC-link voltage harmonics to a capacitance estimate,2,51,2017,Capacitance estimation algorithm based on DC-link voltage harmonics using artificial neural network in three-phase motor drive systems,Soliman Hammam; Davari Pooya; Wang Huai; Blaabjerg Frede,2017 IEEE Energy Conversion Congress and Exposition (ECCE),proceedings-article,NR,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1109/tie.2021.3055164,2,2,,,0,high,ESR estimation for aluminium electrolytic capacitors using compressed sensing plus wavelet transform,2,49,2022,ESR Estimation for Aluminum Electrolytic Capacitor of Power Electronic Converter Based on Compressed Sensing and Wavelet Transform,Li Chuanfeng; Yu Yang; Yang Zhiming; Liu Qingxin et al.,IEEE Transactions on Industrial Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tpel.2010.2062200,2,2,,,0,low,drive-system condition monitoring strategy that plausibly estimates DC-link capacitor parameters among other quantities; title does not name the output,2,49,2011,A New Strategy for Condition Monitoring of Adjustable Speed Induction Machine Drive Systems,Lee Sang Bin; Yang Jinkyu; Hong Jongman; Yoo Ji-Yoon et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/tpel.2019.2959074,2,2,,,0,high,online capacitance estimation of MMC submodule capacitors under nearest level modulation,2,49,2020,Online Capacitance Estimation of Submodule Capacitors for Modular Multilevel Converter With Nearest Level Modulation,Wang Kun; Jin Lin; Li Guangdi; Deng Yan et al.,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/pesc.2005.1581687,2,2,,,0,medium,adaptive-filter (LMS-type) modelling identifies the capacitor's ESR/impedance parameters,2,43,,Condition Monitoring of Electrolytic Capacitor in Power Electronic Circuits using Adaptive Filter Modeling,Imam A.M.; Habetler T.G.; Harley R.G.; Divan D.M.,"IEEE 36th Conference on Power Electronics Specialists, 2005.",proceedings-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1049/cp.2016.0369,2,2,,,0,high,scheme outputs submodule capacitance in an MMC,2,39,2016,A New Scheme for Monitoring Submodule Capacitance in Modular Multilevel Converter,Abushafa O.; Atkinson D.; Gadoue S.; Dahidah M.,"8th IET International Conference on Power Electronics, Machines and Drives (PEMD 2016)",proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/tpel.2021.3121813,2,2,,,0,low,"aging condition monitoring of an aluminium electrolytic DC-link capacitor in VSDs, defensibly a capacitance/ESR estimate",2,38,2022,Aging Condition Monitoring for Aluminum Electrolytic Capacitor in Variable Speed Drives,Wang Bo; Meng Jinlei; Zhao Pinzhi,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/ipemc.2016.7512885,2,2,,,0,high,"title output is an estimated dc-link capacitance value, no health state or life inferred",2,34,2016,Capacitance estimation for dc-link capacitors in a back-to-back converter based on Artificial Neural Network algorithm,Soliman Hammam; Wang Huai; Blaabjerg Frede,2016 IEEE 8th International Power Electronics and Motion Control Conference (IPEMC-ECCE As,proceedings-article,Al-Cap,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1109/imccc.2012.199,6,2,DOWNGRADED,"The claimed L6 rests entirely on the title phrase 'Life Prediction', which is exactly the inflation the grading rule warns against. The retrieved verbatim abstract shows the delivered method is parameter estimation only: 'The main idea of this paper is to calculate the value of ESR and C using the inverter based on Recursive Least Square (RLS) method whenever the motor is stopped. The proposed str",2,medium,title explicitly delivers life prediction in addition to fault diagnosis for dc-link Al caps,2,30,2012,Fault Diagnosis and Life Prediction of DC-link Aluminum Electrolytic Capacitors Used in Three-phase AC/DC/AC Converters,Yu Yong; Zhou Tao; Zhu Mingjun; Xu Dianguo,"2012 Second International Conference on Instrumentation, Measurement, Computer, Communicat",proceedings-article,Al-Cap,Physics-informed/PoF,S6-RUL,P1,NEED_MANUAL
10.1109/ectc.1998.678924,2,2,,,0,low,high-frequency characterization technique yields impedance/equivalent-circuit parameters; no degradation assessment,2,29,,A new technique for high frequency characterization of capacitors,Li Y.L.; Figueroa D.G.; Rodriguez J.P.; Huang L. et al.,1998 Proceedings. 48th Electronic Components and Technology Conference (Cat. No.98CH36206),proceedings-article,NR,Experimental/Physics,Background,P3,NEED_MANUAL
10.1109/tpel.2021.3118602,2,2,,,0,low,MMC submodule capacitor monitoring; defensible output is estimated capacitance despite 'health' wording in title,2,28,2022,Condition Health Monitoring of Modular Multilevel Converter Submodule Capacitors,Polanco Ignacio; Dujic Drazen,IEEE Transactions on Power Electronics,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1049/iet-pel.2017.0528,2,2,,,0,high,abstract states hybrid model-based non-invasive identification of passive component parameters (C/ESR),2,21,2018,Modified hybrid model of boost converters for parameter identification of passive components,Ren Lei; Gong Chunying,IET Power Electronics,journal-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/iecon.2009.5414963,2,2,,,0,medium,'state condition estimation' in this group's work means extracting ESR/C of the Al cap in the ATX supply,2,19,2009,State condition estimation of aluminum electrolytic capacitors used on the primary side of ATX power supplies,Amaral Acacio M. R.; Cardoso A. J. Marques,2009 35th Annual Conference of IEEE Industrial Electronics,proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/pesc.2005.1582038,2,2,,,0,medium,hybrid-model identification of circuit parameters (including capacitance/ESR); no health decision produced,2,18,,Parameter Identification of Power Electronic Circuits Based on Hybrid Model,Hao Ma; Xingyun Mao; Ni Zhang; Dehong Xu,"IEEE 36th Conference on Power Electronics Specialists, 2005.",proceedings-article,NR,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tcsii.2020.3040428,2,2,,,0,medium,switching-signal-based monitoring of MMC submodule capacitors outputs estimated capacitance,2,18,2021,Switching Signals Based Condition Monitoring for Submodule Capacitors in Modular Multilevel Converters,Geng Zhi; Han Minxiao; Zhou Guangyang,IEEE Transactions on Circuits and Systems II: Express Briefs,journal-article,NR,Signal/Circuit,S4-OnlineCM,P2,NEED_MANUAL
10.1109/powereng.2009.4915158,2,2,,,0,high,title states the output is an estimated ESR value using SPWM excitation,2,17,2009,Using a sinosoidal PWM to estimate the ESR of Aluminum electrolytic capacitors,Amaral Acacio M. R.; Cardoso A. J. Marques,"2009 International Conference on Power Engineering, Energy and Electrical Drives",proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/ipemc-ecceasia48364.2020.9367704,2,2,,,0,high,four-sampling-point scheme computes submodule capacitance online,2,15,2020,Online Monitoring for Sub-module Capacitance in Modular Multilevel Converter with Four Sampling Points of Capacitor Voltage,Xin Xikai; Yang Yunxiao; Ma Ke; He Bin,2020 IEEE 9th International Power Electronics and Motion Control Conference (IPEMC2020-ECC,proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/tpwrd.2022.3176001,2,2,,,0,low,hierarchic monitoring of HV MMC capacitors; defensible output is per-submodule capacitance (possible fault localisation not confirmed by title),2,14,2022,A Hierarchic Capacitor Condition Monitoring Strategy for High-Voltage Modular Multilevel Converters,Geng Zhi; Han Minxiao; Xie Wenqiang; Sun Tiankui,IEEE Transactions on Power Delivery,journal-article,NR,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/icit.2015.7125215,2,2,,,0,low,online capacitor condition monitoring in a PV system; expected output is ESR/C estimate,2,13,2015,An online technique for condition monitoring of capacitor in PV system,Ahmad Md Waseem; Arya Abhinav; Anand Sandeep,2015 IEEE International Conference on Industrial Technology (ICIT),proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/iecon.2017.8216161,2,2,,,0,low,generic MMC capacitor monitoring paper; defensible output is estimated submodule capacitance,2,13,2017,Capacitor monitoring for modular multilevel converters,Deng Fujin; Liu Dong; Wang Yanbo; Chen Zhe et al.,IECON 2017 - 43rd Annual Conference of the IEEE Industrial Electronics Society,proceedings-article,NR,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/iecon.2005.1569015,2,2,,,0,medium,LMS adaptive filter identifies the capacitor model parameters (ESR) from ripple signals,2,12,2005,LMS based condition monitoring of electrolytic capacitor,Imam A.M.; Habetler T.G.; Harley R.G.; Divan D.M.,"31st Annual Conference of IEEE Industrial Electronics Society, 2005. IECON 2005.",proceedings-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/peds.2005.1619949,2,2,,,0,medium,instrument that measures ESR at high frequency; delivers the parameter but no health inference,2,12,,An ESR Meter for High Frequencies,Amaral A.M.R.; Marques Cardoso A.J.,2005 International Conference on Power Electronics and Drives Systems,proceedings-article,NR,Experimental/Physics,Background,P3,NEED_MANUAL
10.1109/ecce.2014.6953873,2,2,,,0,high,"identifies ESR and C of the buck output capacitor, i.e. parameter estimation only",2,9,2014,A novel online ESR and C identification method for output capacitor of buck converter,Kai Yao; Wenbin Hu; Weijie Tang; Jianguo Lyu et al.,2014 IEEE Energy Conversion Congress and Exposition (ECCE),proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/cpe.2016.7544180,2,2,,,0,medium,"condition monitoring exploiting the H5 inverter zero state yields a capacitor parameter (C/ESR) estimate, no explicit degraded/healthy decision claimed",2,9,2016,Condition monitoring of dc-link capacitor utilizing zero state of solar PV H5 inverter,Agarwal Nikunj; Ahmad Md. Waseem; Anand Sandeep,"2016 10th International Conference on Compatibility, Power Electronics and Power Engineeri",proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/iecon.2019.8927539,2,2,,,0,medium,submodule capacitor monitoring in full-bridge MMC outputs estimated capacitance per submodule,2,9,2019,Capacitor Monitoring for Full-Bridge Submodule Based Modular Multilevel Converters,Yin Chengwei; Deng Fujin; Yu Qiang; Lv Yongqing et al.,IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society,proceedings-article,NR,Model-based/Filtering,S4-OnlineCM,P3,NEED_MANUAL
10.1109/ias.2007.346,2,2,,,0,high,title explicitly delivers an ESR estimate via simplified regression models,2,8,2007,ESR Estimation Method for DC/DC Converters Through Simplified Regression Models,Buiatti G. M.; Amaral A. M. R.; Cardoso A.J. C.,2007 IEEE Industry Applications Annual Meeting,proceedings-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P3,NEED_MANUAL
10.1109/phm-chongqing.2018.00143,2,2,,,0,medium,"online output-capacitor monitor for a buck converter; defensible output is an ESR/C estimate, nothing in the title indicates SOH or RUL",2,5,2018,Online Output Capacitor Monitor for Buck DC-DC Converter,Gao Jun; Huang Daoping; Lu Jiafeng,2018 Prognostics and System Health Management Conference (PHM-Chongqing),proceedings-article,Al-Cap,Signal/Circuit,S4-OnlineCM,P3,NEED_MANUAL
10.1109/tpel.2020.3009600,2,2,,,0,medium,"digital twin estimates converter health indicators (capacitance/ESR-type parameters); title claims estimation of indicators, not a normalised SOH or RUL",1,296,2021,A Digital Twin Based Estimation Method for Health Indicators of DC–DC Converters,Peng Yingzhou; Zhao Shuai; Wang Huai,IEEE Transactions on Power Electronics,journal-article,NR,Digital-twin,S4-OnlineCM,P1,NEED_MANUAL
10.1109/tpel.2009.2017806,2,2,,,0,medium,ANN estimates converter passive-component values (capacitance/ESR) as the monitoring output,1,74,2009,Condition Monitoring of Power Electronic Circuits Using Artificial Neural Networks,Mohagheghi S.; Harley R.G.; Habetler T.G.; Divan D.,IEEE Transactions on Power Electronics,journal-article,Al-Cap,Data-driven,S7-DataDriven,P1,NEED_MANUAL
10.1109/ecce.2019.8912199,2,2,,,0,low,"digital-twin condition monitoring of a DC-DC converter, defensible output is estimated passive-component parameters",1,44,2019,Application of Digital Twin Concept in Condition Monitoring for DC-DC Converter,Peng Yingzhou; Wang Huai,2019 IEEE Energy Conversion Congress and Exposition (ECCE),proceedings-article,NR,Digital-twin,S4-OnlineCM,P2,NEED_MANUAL
10.1109/tim.2020.3001368,5,2,DOWNGRADED,"Retrieved abstract refutes L5. The contribution is (a) a continuous characterization setup that monitors capacitance and ESR throughout an accelerated aging test, and (b) a conditional deep neural network with dropout that 'dynamically predict[s] the accelerated aging conditions at different elevated temperatures and voltages', reducing measurement time from 1000 h to 200 h. The output is forecast",2,low,"deep network predicts capacitor accelerated-aging state from measurements; degradation-state output defensible, time-to-failure not evidenced in title",1,39,2020,Prediction of Capacitor’s Accelerated Aging Based on Advanced Measurements and Deep Neural Network Techniques,Liu Hao; Claeys Tim; Pissoort Davy; Vandenbosch Guy A. E.,IEEE Transactions on Instrumentation and Measurement,journal-article,NR,Data-driven,S7-DataDriven,P2,NEED_MANUAL
10.1016/j.microrel.2017.11.002,6,2,DOWNGRADED,"Khera & Khan, Microelectron. Reliab. 81:328-336 (2018). Verified abstract content (S2 TLDR + two independent abstract retrievals): they build a test bed where target capacitors sit in the output section of a DC/DC buck converter under varied frequency and temperature, and train a back-propagation ANN offline to DETERMINE/ESTIMATE the ESR of pristine and weak target capacitors at test conditions; '",2,medium,"title states prognostics of Al-electrolytic capacitors via ANN, i.e. life prediction as the delivered output",1,30,2018,Prognostics of aluminum electrolytic capacitors using artificial neural network approach,Khera Neeraj; Khan Shakeb A.,Microelectronics Reliability,journal-article,Al-Cap,Data-driven,S6-RUL,P1,NEED_MANUAL
10.1109/tpel.2024.3409534,2,2,,,0,high,output is estimated capacitor parameters (C/ESR) from wavelet features via CNN; no SOH or RUL claimed in title,1,22,2024,Capacitor Parameter Estimation Based on Wavelet Transform and Convolution Neural Network,Xia Hongjian; Zhang Yi; Chen Minyou; Luo Dan et al.,IEEE Transactions on Power Electronics,journal-article,NR,Data-driven,S7-DataDriven,P1,NEED_MANUAL
10.1109/phm2022-london52454.2022.00053,2,2,,,0,medium,"PINN identifies circuit parameters (capacitance/ESR) of a degrading DC-DC converter; output is the parameter, not SOH or RUL",1,17,2022,Circuit Parameter Identification of Degrading DC-DC Converters Based on Physics-informed Neural Network,Chen Shaowei; Zhang Jinling; Wang Shengyue; Wen Pengfei et al.,2022 Prognostics and Health Management Conference (PHM-2022 London),proceedings-article,NR,Physics-informed/PoF,S8-PhysicsInformed,P1,NEED_MANUAL
